trace_name,start_time
AKOS_GH_HH_2012-10-09T12:50:00.000000Z,2012-10-09 12:50:00.000000
AKOS_GH_HH_2012-10-09T12:50:30.000000Z,2012-10-09 12:50:30.000000
AKOS_GH_HH_2012-10-09T12:51:00.000000Z,2012-10-09 12:51:00.000000
AKOS_GH_HH_2012-10-09T12:51:30.000000Z,2012-10-09 12:51:30.000000
AKOS_GH_HH_2012-10-09T12:52:00.000000Z,2012-10-09 12:52:00.000000
AKOS_GH_HH_2012-10-09T12:52:30.000000Z,2012-10-09 12:52:30.000000
AKOS_GH_HH_2012-10-09T12:53:00.000000Z,2012-10-09 12:53:00.000000
AKOS_GH_HH_2012-10-09T12:53:30.000000Z,2012-10-09 12:53:30.000000
AKOS_GH_HH_2012-10-09T12:54:00.000000Z,2012-10-09 12:54:00.000000
AKOS_GH_HH_2012-10-09T12:54:30.000000Z,2012-10-09 12:54:30.000000
AKOS_GH_HH_2012-10-09T12:55:00.000000Z,2012-10-09 12:55:00.000000
AKOS_GH_HH_2012-10-09T12:55:30.000000Z,2012-10-09 12:55:30.000000
AKOS_GH_HH_2012-10-09T12:56:00.000000Z,2012-10-09 12:56:00.000000
AKOS_GH_HH_2012-10-09T12:56:30.000000Z,2012-10-09 12:56:30.000000
AKOS_GH_HH_2012-10-09T12:57:00.000000Z,2012-10-09 12:57:00.000000
AKOS_GH_HH_2012-10-09T12:57:30.000000Z,2012-10-09 12:57:30.000000
AKOS_GH_HH_2012-10-09T12:58:00.000000Z,2012-10-09 12:58:00.000000
AKOS_GH_HH_2012-10-09T12:58:30.000000Z,2012-10-09 12:58:30.000000
AKOS_GH_HH_2012-10-09T12:59:00.000000Z,2012-10-09 12:59:00.000000
AKOS_GH_HH_2012-10-09T12:59:30.000000Z,2012-10-09 12:59:30.000000
AKOS_GH_HH_2012-10-09T13:00:00.000000Z,2012-10-09 13:00:00.000000
AKOS_GH_HH_2012-10-09T13:00:30.000000Z,2012-10-09 13:00:30.000000
AKOS_GH_HH_2012-10-09T13:01:00.000000Z,2012-10-09 13:01:00.000000
AKOS_GH_HH_2012-10-09T13:01:30.000000Z,2012-10-09 13:01:30.000000
AKOS_GH_HH_2012-10-09T13:02:00.000000Z,2012-10-09 13:02:00.000000
AKOS_GH_HH_2012-10-09T13:02:30.000000Z,2012-10-09 13:02:30.000000
AKOS_GH_HH_2012-10-09T13:03:00.000000Z,2012-10-09 13:03:00.000000
